,pinyin,MC (B&S),GSR,漢語大字典,廣韻,
挨,ai1,'eajX,0938c,31888.050,271.35 274.44,13
哀,ai1,'oj,0550h,10620.100,099.05,6
唉,ai1,'oj,0938a,10635.060,099.07 271.36,13
埃,ai1,'oj,0938b,10447.150,099.06,6
欸,ai1,'oj,0938d,32140.110,099.09 274.41 385.22,20
挨,ai1,'ojX,0938c,31888.050,271.35 274.44,13
藹,ai3,'ajH,0313a',53328.030,380.08,6
喝,ai4,'aejH,0313k,10653.130,387.09 483.09,13
餲,ai4,'aejH,0313y,74464.050,378.27 387.10 483.01 483.44,27
餲,ai4,'at,0313y,74464.050,378.27 387.10 483.01 483.44,27
阸,ai4,'eaH,0844g,64124.010,383.40 515.43,13
阨,ai4,'eaH,0844h,64116.080,,0
隘,ai4,'eaH,0849h,64152.150,383.38,6
僾,ai4,'j+jX,0508d,10226.080,254.45 390.39,13
餲,ai4,'jejH,0313y,74464.050,378.27 387.10 483.01 483.44,27
愛,ai4,'ojH,0508a,42323.010,390.35,6
曖,ai4,'ojH,0508b,21538.170,390.38,6
薆,ai4,'ojH,0508c,53304.040,390.42,6
僾,ai4,'ojH,0508d,10226.080,254.45 390.39,13
艾,ai4,ngajH,0347c,53172.090,380.05 391.49,13
硋,ai4,ngojH,0937t,42430.130,390.29,6
閡,ai4,ngojH,0937u,74299.020,390.31,6
礙,ai4,ngojH,0956g,42461.110,390.28,6
安,an1,'an,0146a,20913.090,121.24,6
韽,an1,'om,0651h',74498.060,222.04 445.13,13
儑,an2,ngom,0644a,10230.110,442.24 536.39 537.66,20
晻,an3,'omX,0614e,21517.130,330.35 335.10,13
㜝,an3,ngomX,0651k',21077.150,331.17,6
按,an4,'anH,0146d,31876.010,401.03,6
案,an4,'anH,0146e,21207.080,401.04,6
黬,an4,'eamX,0671k,74752.110,229.42 230.11,13
晻,an4,'omH,0614e,21517.130,330.35 335.10,13
暗,an4,'omH,0653h,21526.060,442.02,6
闇,an4,'omH,0653i,74309.070,442.03,6
黬,an4,keam,0671k,74752.110,229.42 230.11,13
犴,an4,nganH,0139c',21332.040,121.11 401.36,13
豻,an4,nganH,0139d',63908.030,121.10 128.46 400.25 401.37,27
岸,an4,nganH,0139e',10766.040,401.35,6
卬,ang2,ngang,0699a,10310.120,183.29 311.18,13
昂,ang2,ngang,0699b,21495.030,183.32,6
盎,ang4,'angH,0718i,42559.090,315.02 427.24,13
坳,ao1,'aew,1115j,10436.090,154.38,6
謷,ao2,ngaew,1130l,64003.100,153.59 158.15 417.40,20
翶,ao2,ngaw,1040h,53356.011,,0
敖,ao2,ngaw,1130a,21456.130,158.02,6
遨,ao2,ngaw,1130c,63869.040,158.03,6
嗷,ao2,ngaw,1130e,10664.040,158.17,6
嗸,ao2,ngaw,1130f,10664.050,158.16,6
摮,ao2,ngaw,1130g,31927.020,158.20,6
熬,ao2,ngaw,1130h,32226.040,158.07,6
獒,ao2,ngaw,1130j,21364.100,158.09,6
螯,ao2,ngaw,1130k,42875.070,158.14,6
謷,ao2,ngaw,1130l,64003.100,153.59 158.15 417.40,20
驁,ao2,ngaw,1130m,74568.070,158.06 417.38,13
鼇,ao2,ngaw,1130o,74770.200,158.13,6
䴠,ao3,'awX,1141k,74728.100,303.34,6
媼,ao3,'awX,1244e,21071.211,303.35,6
奧,ao4,'awH,1045a,10547.031,418.29,6
澳,ao4,'awH,1045b,31744.080,418.39 458.15,13
隩,ao4,'awH,1045c,64160.070,418.33 458.16,13
傲,ao4,ngaw,1130d,10199.060,417.34,6
傲,ao4,ngawH,1130d,10199.060,417.34,6
謷,ao4,ngawH,1130l,64003.100,153.59 158.15 417.40,20
巴,ba1,pae,0039a,20985.010,167.32,6
芭,ba1,pae,0039c,53185.050,167.36,6
豝,ba1,pae,0039d,63612.050,167.35,6
八,ba1,peat,0281a,10241.030,488.29,6
軷,ba2,bajH,0276e,53520.060,382.44 487.31,13
癹,ba2,bat,0275b,42760.060,487.36,6
犮,ba2,bat,0276a,21331.020,487.38,6
跋,ba2,bat,0276b,63694.020,487.25,6
魃,ba2,bat,0276c,74430.050,487.29,6
坺,ba2,bat,0276d,10430.080,477.48 487.46,13
軷,ba2,bat,0276e,53520.060,382.44 487.31,13
茇,ba2,bat,0276g,53189.020,485.33 487.48,13
拔,ba2,bat,0276h,31850.030,477.45 487.40 488.06,20
拔,ba2,beat,0276h,31850.030,477.45 487.40 488.06,20
坺,ba2,bjot,0276d,10430.080,477.48 487.46,13
胈,ba2,pat,0276f,32057.070,487.41,6
