㡃,mang,mang2?,--
蜎,gjwienX,juan4?,--
䀏,hwen,xuan2?,--
㨎,nywet,ruo4?,--
䋽,paewngX,beng3,【◎Fix:◎beng3;◎peng3】
䐹,sjuwk,sao4,sao4
䑂,yoX,yu3?,【◎Fix:◎ai3;◎xi4】
唯,tshwijX,cui3?,【◎Fix:◎wei2;◎wei3】
喁,nguwX,yong2,yong2
喝,'aejH,ai4?,【◎Fix:◎he1;◎he4】
嗃,xaewk,he4,he4
嗄,'eajH,ga1,ga1
嗛,hemX,qian1,qian1
圈,kjwonX,juan3?,【◎Fix:◎quan1;◎juan4;◎juan1】
圪,xj+t,ge1,ge1
妯,drjuw,zhou2,zhou2
姺,sejX,xi3,【◎Fix:◎shen1;◎xian3;◎sun3;◎xi3;◎xian1;◎xin1】
宁,drjo,chu2?,【◎Fix:◎ning4;◎ning2】
寖,tsim,jin1,【◎Fix:◎ning4;◎qin4;◎jin4;◎jin1】
帴,dzjenX,xian4?,【◎Fix:◎sha1;◎can2;◎xian1】
幬,daw,dao4,dao4
恫,thuwngH,tong4?,【◎Fix:◎tong1;◎dong4】
慅,sawX,sao3,【◎Fix:◎sao1;◎cao3;◎cao4;◎xiao1】
懁,xwenH,xuan4?,【◎Fix:◎huan1;◎xuan1】
懫,trhijH,chi4,【◎Fix:◎zhi2;◎chi4;◎zhi4】
扶,phu,fu2,fu2
拘,gju,ju1,ju1
控,khaewngH,kong4,kong4
揣,tsyhwenX,chuan3?,【◎Fix:◎chuai1;◎chuai3;◎chuai4】
揱,sraew,shao1?,【◎Fix:◎shuo4;◎shan1;◎shao4;◎xiao1;◎xue4】
揲,sep,xie1?,【◎Fix:◎she2;◎die2】
搹,keak,ge2,【◎Fix:◎e4;◎ge2】
擔,dzyem,chan2?,【◎Fix:◎dan1;◎dan4】
擩,nywet,ruo4,【◎Fix:◎ru3;◎nou4;◎nu3;◎ru4;◎rui2;◎ruo4】
斡,kwanH,wo4,wo4
於,'joH,yu4?,【◎Fix:◎yu2;◎wu1】
曝,bawH,bao4,【◎Fix:◎pu4;◎bao4】
果,khwaX,guo3,guo3
柎,buwX,bu4?,【◎Fix:◎fu1;◎fu4】
校,haew,xiao2?,【◎Fix:◎xiao4;◎jiao4】
格,haek,he2?,【◎Fix:◎ge2;◎ge1】
棓,buw,pou2,【◎Fix:◎pou3;◎bang4;◎pou2】
楎,xjw+jH,hui4?,【◎Fix:◎hun2;◎gun1;◎hui1;◎jun1】
楮,tuX,chu3,chu3
樠,manH,man4,【◎Fix:◎men2;◎lang3;◎man2】
樠,mjon,wan2?,【◎Fix:◎men2;◎lang3;◎man2】
樠,mjon,wan2?,【◎Fix:◎men2;◎lang3;◎man2】
樸,phuwk,pu3,pu3
橁,swin,xun2,xun2
橈,nraewH,nao4?,【◎Fix:◎rao2;◎nao2】
橫,kwangH,guang4?,【◎Fix:◎heng2;◎heng4】
檜,kwat,guo2?,【◎Fix:◎Hui4;◎gui4】
檻,hamX,han4?,【◎Fix:◎jian4;◎kan3】
殍,phju,piao3,piao3
每,mwoj,mei3,mei3
每,mwojH,mei3,mei3
汏,that,tuo2,【◎Fix:◎da4;◎tai4;◎dai4;◎ta4;◎tuo2】
沈,tsyhimX,chen3?,【◎Fix:◎Shen3;◎shen3】
泯,mjin,min3,min3
洚,haewng,jiang4,jiang4
洵,xwen,xun2,xun2
洼,'wej,wa1,wa1
洼,'wej,wa1,wa1
濕,tsrhip,shi1,shi1
濫,hamH,lan4,lan4
焫,nywejH,rui4?,【◎Fix:◎re4;◎ruo4】
熒,hwengH,ying2,ying2
燋,tsraewk,zhuo2,【◎Fix:◎jiao1;◎qiao2;◎jue2;◎zhuo2】
爿,tshjang,pan2,pan2
狌,sjengH,xing4,【◎Fix:◎sheng1;◎xing1;◎xing4】
獝,gjwit,yu4,yu4
率,lwijH,lei4?,【◎Fix:◎lv4;◎shuai4】
甄,kjien,zhen1,zhen1
痒,zjang,yang3,yang3
癉,taH,duo4?,【◎Fix:◎dan1;◎dan4】
眈,tomX,dan1,dan1
瞲,xwijH,xue4,xue4
